     Omega (cm-1)     IR (km mol-1)      Config.
      1596.3980        0.866516E+02       7_1
      1619.4772        0.830190E+02      25_1
      1623.9189        0.533739E+02      34_1
      1633.0487        0.274655E+02      34_1
      1644.3393        0.486529E+02      43_1
      1671.6292        0.536250E+02      16_1
      2627.7462        0.509789E+03       8_1
      2781.7543        0.263972E+04      53_1
      2867.7434        0.946222E+03      44_1
      3067.9941        0.388385E+03      35_1
      3157.0802        0.885336E+03      17_1
      3168.8243        0.178066E+03      25_2
      3186.0930        0.546169E+02       7_2
      3217.0773        0.212793E+02       7_1   52_1
      3218.2014        0.418943E+02       7_1   34_1
      3231.7402        0.197086E+02       7_1   25_1
      3232.8766        0.348058E+02      43_2
      3237.5082        0.144745E+02      52_2
      3237.9779        0.400506E+02      34_2
      3244.4915        0.321189E+02      34_1   52_1
      3251.2550        0.425308E+01      34_1   52_1
      3255.6185        0.684275E+00      43_2
      3258.4443        0.154248E+03      34_2
      3264.5059        0.365873E+02      25_1   52_1
      3265.9338        0.512668E+01      34_1   43_1
      3268.0438        0.316022E+02       7_1   16_1
      3275.3486        0.177819E+02      34_1   43_1
      3282.8294        0.338147E+02      43_1   52_1
      3288.8288        0.226559E+02      16_1   43_1
      3292.9476        0.105941E+02      16_1   34_1
      3301.3910        0.374269E+02      16_1   52_1
      3306.6156        0.927091E+01      16_1   34_1
      3332.3822        0.252795E+02      16_1   52_1
      3421.0485        0.358884E+03      18_1
      3629.2261        0.517102E+02      27_1
      3636.1570        0.466671E+02       9_1
      3622.1267        0.404662E+02      36_1
      3624.5090        0.492011E+02      45_1
      3624.9593        0.205448E+02      54_1
